AAL	AAR	6
AAL	BLL	3
AAL	BLQ	1
AAL	CPH	23
AAL	DFW	1
AAL	EBJ	3
AAL	GVA	1
AAL	HAM	1
AAL	HKG	3
AAL	IAH	1
AAL	KEF	1
AAL	KEL	1
AAL	KGD	1
AAL	KRP	2
AAL	KSF	1
AAL	KUN	1
AAL	LBA	1
AAL	LBC	1
AAL	LGW	2
AAL	LIL	1
AAL	LPA	2
AAL	LUX	1
AAL	MAD	1
AAL	MHG	1
AAL	MLA	2
AAL	MMX	2
AAL	NUE	3
AAL	ODE	3
AAL	OSL	1
AAL	POZ	1
AAL	PTY	1
AAL	PZY	1
AAL	QND	1
AAL	RJK	1
AAL	RTM	1
AAL	SAN	1
AAL	SIN	2
AAL	SVG	1
AAL	TLL	1
AAL	TPA	1
AAL	WAW	1
AAQ	BTK	1
AAQ	GDZ	2
AAQ	HKG	1
AAQ	KGD	1
AAQ	KRR	4
AAQ	LED	3
AAQ	SVO	6
AAQ	VVO	2
AAR	AAL	7
AAR	AMS	2
AAR	BCN	4
AAR	BDS	2
AAR	BHX	4
AAR	BIO	1
AAR	BLL	8
AAR	BOS	1
AAR	BRU	2
AAR	BTV	1
AAR	CDG	2
AAR	CPH	31
AAR	CWL	4
AAR	DEN	2
AAR	DUB	1
AAR	EBJ	2
AAR	EDI	1
AAR	ESS	1
AAR	FRA	2
AAR	GIB	1
AAR	GOT	2
AAR	GRU	2
AAR	HAM	5
AAR	HEL	1
AAR	HKG	1
AAR	IAH	1
AAR	JFK	4
AAR	JKG	1
AAR	KEL	5
AAR	KLR	1
AAR	KRP	3
AAR	KSD	1
AAR	KUN	1
AAR	LBC	1
AAR	LGW	2
AAR	LPL	2
AAR	MAD	5
AAR	MAN	1
AAR	MEX	1
AAR	MGA	1
AAR	MLA	3
AAR	MMX	4
AAR	MXP	6
AAR	NBO	1
AAR	NRT	2
AAR	ODE	1
AAR	OKA	1
AAR	ORE	1
AAR	OSL	6
AAR	PDX	1
AAR	PEK	1
AAR	QND	1
AAR	SDQ	1
AAR	SGD	2
AAR	SHA	1
AAR	SIN	4
AAR	SKE	1
AAR	SVO	1
AAR	SVQ	2
AAR	SXB	2
AAR	TKU	1
AAR	TLL	1
AAR	TPE	1
AAR	VBY	2
AAR	VIE	2
AAR	YYZ	2
AAR	ZRH	1
ABC	AGB	1
ABC	ALC	3
ABC	BCN	6
ABC	GVA	1
ABC	LIS	1
ABC	MAD	3
ABC	MUC	1
ABC	MXP	1
ABC	QGN	3
ABC	SOU	1
ABC	VLC	2
ABC	ZAZ	1
ABJ	CDG	1
ABJ	LBV	1
ABJ	LFW	1
ABJ	LGW	1
ABJ	SZX	1
ABQ	BHX	1
ABQ	CBG	1
ABQ	CDG	1
ABQ	DFW	2
ABQ	EZE	1
ABQ	IAH	1
ABQ	LAX	1
ABQ	MEX	1
ABQ	SHV	1
ABQ	SJU	1
ABV	LOS	1
ABY	AMS	1
ABY	BDA	4
ABY	BOS	2
ABY	DAY	1
ABY	DEN	1
ABY	DFW	3
ABY	DTW	1
ABY	HFD	1
ABY	HNL	2
ABY	IAH	1
ABY	IND	1
ABY	JFK	8
ABY	LAX	1
ABY	LPL	2
ABY	LUX	1
ABY	MDW	1
ABY	MEX	1
ABY	MKE	1
ABY	MSP	1
ABY	ORL	1
ABY	PIT	1
ABY	RDU	1
ABY	SIN	2
ABY	STL	1
ABZ	AAE	1
ABZ	ABQ	1
ABZ	ABY	1
ABZ	ACC	1
ABZ	ACH	1
ABZ	ADL	1
ABZ	AKL	3
ABZ	AMD	1
ABZ	AMS	11
ABZ	ANK	1
ABZ	AOI	1
ABZ	ARN	6
ABZ	ASF	1
ABZ	ATL	31
ABZ	ATW	3
ABZ	AUH	1
ABZ	BDA	31
ABZ	BEY	1
ABZ	BFS	1
ABZ	BGO	1
ABZ	BHM	5
ABZ	BHX	29
ABZ	BIS	1
ABZ	BKK	34
ABZ	BLR	6
ABZ	BNA	14
ABZ	BNE	2
ABZ	BNU	2
ABZ	BOG	2
ABZ	BOI	3
ABZ	BOM	16
ABZ	BOS	64
ABZ	BRS	13
ABZ	BRU	1
ABZ	BSL	2
ABZ	BTV	1
ABZ	BUD	2
ABZ	BUF	6
ABZ	BWI	13
ABZ	CAE	2
ABZ	CAI	1
ABZ	CBG	7
ABZ	CCU	2
ABZ	CDG	7
ABZ	CEB	1
ABZ	CGK	21
ABZ	CGO	1
ABZ	CHA	2
ABZ	CHS	3
ABZ	CLE	21
ABZ	CLT	9
ABZ	CMB	8
ABZ	CMH	13
ABZ	CNG	1
ABZ	CPH	1
ABZ	CPT	3
ABZ	CRP	1
ABZ	CVG	15
ABZ	CWL	3
ABZ	DAY	2
ABZ	DEL	6
ABZ	DEN	33
ABZ	DFW	39
ABZ	DOH	1
ABZ	DSM	6
ABZ	DTW	21
ABZ	DUB	14
ABZ	DUR	1
ABZ	EBJ	1
ABZ	EBU	1
ABZ	EDI	19
ABZ	ELP	1
ABZ	EMA	1
ABZ	ESS	1
ABZ	EXT	2
ABZ	FCO	1
ABZ	FLR	1
ABZ	FMY	3
ABZ	FNT	1
ABZ	FRA	1
ABZ	FSD	3
ABZ	FSZ	4
ABZ	FWA	1
ABZ	GCI	2
ABZ	GCM	17
ABZ	GEG	5
ABZ	GLA	13
ABZ	GLO	2
ABZ	GRR	5
ABZ	GRU	11
ABZ	GSO	7
ABZ	GSP	3
ABZ	GVA	3
