US GB 9761
FR GB 4292
BM HK 2674
KY HK 1929
US JP 4078
GB JP 2222
GB US 8846
FR JP 1642
GB IE 1478
GB FR 1477
FR US 5886
CH GB 2157
NL GB 2374
US BM 1820
FR BE 1217
BM GB 1206
GB HK 845
US KY 1692
FR ES 1381
DE GB 2719
BM VG 640
CA GB 1298
GB TW 658
FR LU 738
GB NL 1220
FR NL 1045
FR IT 1254
US TW 942
HK VG 573
CA US 6458
GB BM 649
CH US 3866
US FR 1884
GB SG 598
GB ES 994
GB KY 540
JP GB 766
US CA 2841
FR SG 518
AU GB 904
FR HK 496
US HK 1215
JP US 2679
NL FR 1035
BE FR 764
SE NO 535
GB LU 459
GB IT 871
LU GB 507
US SG 1044
ES GB 698
GB CA 921
AT HU 373
US NL 2207
US IE 1091
SE GB 583
BM US 2175
BE GB 568
DE US 3970
BE LU 349
SG BM 301
FR PL 524
KY VG 288
NL ES 804
FR IE 326
SE DK 432
GB SE 432
GB CH 541
SE FI 388
IE GB 538
JP SG 341
US MH 370
DE FR 1148
HK KY 268
US LU 763
FR SE 414
AT CZ 342
ES PT 524
NL US 3333
FR BM 249
US CH 1027
FR DE 1724
US IN 1003
NL IE 574
GB BR 535
SG HK 232
NL BE 761
GB MY 282
FR CH 879
SE JP 346
US MX 1425
VG HK 216
FR AT 279
LU FR 366
GB TH 259
GB DE 1540
FR CZ 271
SG GB 254
FR PT 300
FR RU 299
US IT 1005
LU DE 548
GB AU 583
BM JP 287
CH BM 240
NL CZ 369
GB IN 518
CH FR 513
FR KY 189
JP HK 229
US AU 738
FR TW 200
CN HK 358
US ES 930
NL PL 563
FR NO 230
HK BM 179
BE NL 389
SG MY 205
GB DK 248
US BR 858
NL SG 356
GB NO 260
CH JP 351
GB ZA 308
FR BR 319
GB AT 252
NL IT 536
FR GR 195
IN GB 297
DE JP 548
MY SG 179
NL LU 291
US TH 303
US SE 577
GB BE 331
FR FI 196
DE AT 980
BM SG 160
JP TW 216
BM KY 154
AU SG 267
GB PL 349
DE KY 205
FR MX 247
AT DE 625
SE US 1010
ES CL 245
FR HU 180
FR CA 400
GB MX 270
DE CH 726
IT LU 318
DK GB 290
IT GB 560
US NO 453
JP TH 214
NL TW 249
NL HU 269
ES MX 357
DK NO 215
NL JP 413
LU IE 150
DE BM 203
GB RU 227
GB FI 171
US IL 413
US MY 268
VG BM 132
BM FR 198
DK SE 272
GB CN 362
GB VG 157
GB IL 182
CH HK 179
US DE 2215
CH KY 150
BM TW 123
LU NL 231
US BE 604
NL AT 334
US VG 336
NL RU 343
FR DK 187
SE FR 225
ES FR 401
ES NL 256
NL HK 234
AT PL 150
DE PL 651
VG KY 116
